Country,Coffee type,Year,Production,Continent,Year_clean
Honduras,Arabica,1994/95,130860000.0,Central America,1994
India,Robusta/Arabica,1994/95,180120000.0,Asia,1994
Jamaica,Arabica,1994/95,2700000.0,Central America,1994
Kenya,Arabica,1994/95,99780000.0,Africa,1994
Laos,Robusta,1994/95,0.0,Asia,1994
Liberia,Robusta,1994/95,300000.0,Africa,1994
Mexico,Arabica/Robusta,1994/95,249540000.0,North America,1994
Nepal,Arabica,1994/95,0.0,Asia,1994
Nicaragua,Arabica,1994/95,40980000.0,Central America,1994
Nigeria,Robusta,1994/95,3120000.0,Africa,1994
Panama,Arabica,1994/95,14880000.0,Central America,1994
Sierra Leone,Robusta,1994/95,4380000.0,Africa,1994
Sri Lanka,Robusta/Arabica,1994/95,2520000.0,Asia,1994
Thailand,Robusta/Arabica,1994/95,83940000.0,Asia,1994
Togo,Robusta,1994/95,10560000.0,Africa,1994
Trinidad and Tobago,Robusta,1994/95,1080000.0,Central America,1994
Uganda,Robusta/Arabica,1994/95,143580000.0,Africa,1994
Venezuela,Arabica,1994/95,59340000.0,South America,1994
Vietnam,Robusta/Arabica,1994/95,217920000.0,Asia,1994
Yemen,Arabica,1994/95,0.0,Asia,1994
Angola,Robusta/Arabica,1995/96,3720000.0,Africa,1995
Bolivia,Arabica,1995/96,8520000.0,South America,1995
Brazil,Arabica/Robusta,1995/96,1083600000.0,South America,1995
Burundi,Arabica/Robusta,1995/96,26040000.0,Africa,1995
Ecuador,Arabica/Robusta,1995/96,113280000.0,South America,1995
Indonesia,Robusta/Arabica,1995/96,274380000.0,Asia,1995
Madagascar,Robusta,1995/96,47100000.0,Africa,1995
Malawi,Arabica,1995/96,5460000.0,Africa,1995
Papua New Guinea,Arabica/Robusta,1995/96,60120000.0,Oceania,1995
Paraguay,Arabica,1995/96,1560000.0,South America,1995
Peru,Arabica,1995/96,112260000.0,South America,1995
Rwanda,Arabica,1995/96,19740000.0,Africa,1995
East Timor,Arabica,1995/96,0.0,Asia,1995
Zimbabwe,Arabica,1995/96,7860000.0,Africa,1995
Congo,Robusta,1995/96,720000.0,Africa,1995
Cuba,Arabica,1995/96,17100000.0,Central America,1995
Dominican Republic,Arabica/Robusta,1995/96,53160000.0,Central America,1995
Haiti,Arabica,1995/96,30840000.0,Central America,1995
Philippines,Robusta/Arabica,1995/96,51000000.0,Asia,1995
Tanzania,Arabica/Robusta,1995/96,53820000.0,Africa,1995
Zambia,Arabica,1995/96,1560000.0,Africa,1995
Cameroon,Robusta/Arabica,1995/96,39600000.0,Africa,1995
Central African Republic,Robusta,1995/96,6480000.0,Africa,1995
Colombia,Arabica,1995/96,776280000.0,South America,1995
Costa Rica,Arabica,1995/96,170640000.0,Central America,1995
Ivory Coast,Robusta,1995/96,151920000.0,Africa,1995
Congo,Robusta/Arabica,1995/96,65880000.0,Africa,1995
El Salvador,Arabica,1995/96,155100000.0,Central America,1995
Equatorial Guinea,Robusta,1995/96,120000.0,Africa,1995
Ethiopia,Arabica,1995/96,189900000.0,Africa,1995
Gabon,Robusta,1995/96,120000.0,Africa,1995
Ghana,Robusta,1995/96,3420000.0,Africa,1995
Guatemala,Arabica/Robusta,1995/96,240120000.0,Central America,1995
Guinea,Robusta,1995/96,6240000.0,Africa,1995
Guyana,Robusta,1995/96,0.0,South America,1995
Honduras,Arabica,1995/96,114540000.0,Central America,1995
India,Robusta/Arabica,1995/96,240720000.0,Asia,1995
Jamaica,Arabica,1995/96,2580000.0,Central America,1995
Kenya,Arabica,1995/96,99840000.0,Africa,1995
Laos,Robusta,1995/96,0.0,Asia,1995
Liberia,Robusta,1995/96,300000.0,Africa,1995
Mexico,Arabica/Robusta,1995/96,318000000.0,North America,1995
Nepal,Arabica,1995/96,0.0,Asia,1995
