Country,Coffee type,Year,Consumed,Continent,Year_clean
Cuba,Arabica,1996/97,11340000,Central America,1996
Dominican Republic,Arabica/Robusta,1996/97,19500000,Central America,1996
Haiti,Arabica,1996/97,19800000,Central America,1996
Philippines,Robusta/Arabica,1996/97,49860000,Asia,1996
Tanzania,Arabica/Robusta,1996/97,996000,Africa,1996
Zambia,Arabica,1996/97,60000,Africa,1996
Cameroon,Robusta/Arabica,1996/97,6000000,Africa,1996
Central African Republic,Robusta,1996/97,600000,Africa,1996
Colombia,Arabica,1996/97,80580000,South America,1996
Costa Rica,Arabica,1996/97,22500000,Central America,1996
Ivory Coast,Robusta,1996/97,3000000,Africa,1996
Congo,Robusta/Arabica,1996/97,12000000,Africa,1996
El Salvador,Arabica,1996/97,13800000,Central America,1996
Equatorial Guinea,Robusta,1996/97,0,Africa,1996
Ethiopia,Arabica,1996/97,98220000,Africa,1996
Gabon,Robusta,1996/97,49980,Africa,1996
Ghana,Robusta,1996/97,180000,Africa,1996
Guatemala,Arabica/Robusta,1996/97,18000000,Central America,1996
Guinea,Robusta,1996/97,3000000,Africa,1996
Guyana,Robusta,1996/97,0,South America,1996
Honduras,Arabica,1996/97,10075440,Central America,1996
India,Robusta/Arabica,1996/97,50280000,Asia,1996
Jamaica,Arabica,1996/97,1080000,Central America,1996
Kenya,Arabica,1996/97,3000000,Africa,1996
Laos,Robusta,1996/97,0,Asia,1996
Liberia,Robusta,1996/97,300000,Africa,1996
Mexico,Arabica/Robusta,1996/97,74100000,North America,1996
Nepal,Arabica,1996/97,0,Asia,1996
Nicaragua,Arabica,1996/97,5722200,Central America,1996
Nigeria,Robusta,1996/97,2400000,Africa,1996
Panama,Arabica,1996/97,4600020,Central America,1996
Sierra Leone,Robusta,1996/97,480000,Africa,1996
Sri Lanka,Robusta/Arabica,1996/97,1200000,Asia,1996
Thailand,Robusta/Arabica,1996/97,19980000,Asia,1996
Togo,Robusta,1996/97,60000,Africa,1996
Trinidad and Tobago,Robusta,1996/97,840000,Central America,1996
Uganda,Robusta/Arabica,1996/97,4800000,Africa,1996
Venezuela,Arabica,1996/97,60190800,South America,1996
Vietnam,Robusta/Arabica,1996/97,17850960,Asia,1996
Yemen,Arabica,1996/97,0,Asia,1996
Angola,Robusta/Arabica,1997/98,2400000,Africa,1997
Bolivia,Arabica,1997/98,1950000,South America,1997
Brazil,Arabica/Robusta,1997/98,690000000,South America,1997
Burundi,Arabica/Robusta,1997/98,120000,Africa,1997
Ecuador,Arabica/Robusta,1997/98,18000000,South America,1997
Indonesia,Robusta/Arabica,1997/98,91920000,Asia,1997
Madagascar,Robusta,1997/98,10020000,Africa,1997
Malawi,Arabica,1997/98,120000,Africa,1997
Papua New Guinea,Arabica/Robusta,1997/98,120000,Oceania,1997
Paraguay,Arabica,1997/98,1200000,South America,1997
Peru,Arabica,1997/98,12000000,South America,1997
Rwanda,Arabica,1997/98,180000,Africa,1997
East Timor,Arabica,1997/98,0,Asia,1997
Zimbabwe,Arabica,1997/98,240000,Africa,1997
Congo,Robusta,1997/98,180000,Africa,1997
Cuba,Arabica,1997/98,11700000,Central America,1997
Dominican Republic,Arabica/Robusta,1997/98,19500000,Central America,1997
Haiti,Arabica,1997/98,19800000,Central America,1997
Philippines,Robusta/Arabica,1997/98,51180000,Asia,1997
Tanzania,Arabica/Robusta,1997/98,1020000,Africa,1997
Zambia,Arabica,1997/98,36000,Africa,1997
Cameroon,Robusta/Arabica,1997/98,6000000,Africa,1997
Central African Republic,Robusta,1997/98,600000,Africa,1997
Colombia,Arabica,1997/98,79680000,South America,1997
Costa Rica,Arabica,1997/98,22500000,Central America,1997
Ivory Coast,Robusta,1997/98,3000000,Africa,1997
Congo,Robusta/Arabica,1997/98,12000000,Africa,1997
El Salvador,Arabica,1997/98,11500020,Central America,1997
Equatorial Guinea,Robusta,1997/98,0,Africa,1997
Ethiopia,Arabica,1997/98,103440000,Africa,1997
Gabon,Robusta,1997/98,48000,Africa,1997
Ghana,Robusta,1997/98,180000,Africa,1997
Guatemala,Arabica/Robusta,1997/98,18000000,Central America,1997
Guinea,Robusta,1997/98,3000000,Africa,1997
Guyana,Robusta,1997/98,0,South America,1997
Honduras,Arabica,1997/98,9660000,Central America,1997
India,Robusta/Arabica,1997/98,50340000,Asia,1997
Jamaica,Arabica,1997/98,1200000,Central America,1997
Kenya,Arabica,1997/98,3000000,Africa,1997
Laos,Robusta,1997/98,0,Asia,1997
Liberia,Robusta,1997/98,300000,Africa,1997
Mexico,Arabica/Robusta,1997/98,72060000,North America,1997
Nepal,Arabica,1997/98,0,Asia,1997
Nicaragua,Arabica,1997/98,7380000,Central America,1997
Nigeria,Robusta,1997/98,2400000,Africa,1997
Panama,Arabica,1997/98,4836900,Central America,1997
Sierra Leone,Robusta,1997/98,300000,Africa,1997
Sri Lanka,Robusta/Arabica,1997/98,1200000,Asia,1997
Thailand,Robusta/Arabica,1997/98,23400000,Asia,1997
Togo,Robusta,1997/98,60000,Africa,1997
Trinidad and Tobago,Robusta,1997/98,840000,Central America,1997
Uganda,Robusta/Arabica,1997/98,6071400,Africa,1997
Venezuela,Arabica,1997/98,62736599,South America,1997
Vietnam,Robusta/Arabica,1997/98,18843480,Asia,1997
Yemen,Arabica,1997/98,0,Asia,1997
Angola,Robusta/Arabica,1998/99,1800000,Africa,1998
Bolivia,Arabica,1998/99,1980000,South America,1998
Brazil,Arabica/Robusta,1998/99,732000000,South America,1998
Burundi,Arabica/Robusta,1998/99,120000,Africa,1998
Ecuador,Arabica/Robusta,1998/99,18000000,South America,1998
Indonesia,Robusta/Arabica,1998/99,94680000,Asia,1998
Madagascar,Robusta,1998/99,10020000,Africa,1998
Malawi,Arabica,1998/99,120000,Africa,1998
Papua New Guinea,Arabica/Robusta,1998/99,60000,Oceania,1998
Paraguay,Arabica,1998/99,1200000,South America,1998
Peru,Arabica,1998/99,12000000,South America,1998
Rwanda,Arabica,1998/99,180000,Africa,1998
East Timor,Arabica,1998/99,0,Asia,1998
Zimbabwe,Arabica,1998/99,240000,Africa,1998
Congo,Robusta,1998/99,180000,Africa,1998
Cuba,Arabica,1998/99,12000000,Central America,1998
Dominican Republic,Arabica/Robusta,1998/99,19500000,Central America,1998
Haiti,Arabica,1998/99,19800000,Central America,1998
Philippines,Robusta/Arabica,1998/99,48600000,Asia,1998
Tanzania,Arabica/Robusta,1998/99,1020000,Africa,1998
Zambia,Arabica,1998/99,36000,Africa,1998
Cameroon,Robusta/Arabica,1998/99,6000000,Africa,1998
Central African Republic,Robusta,1998/99,1140000,Africa,1998
Colombia,Arabica,1998/99,78720000,South America,1998
Costa Rica,Arabica,1998/99,22500000,Central America,1998
Ivory Coast,Robusta,1998/99,3000000,Africa,1998
Congo,Robusta/Arabica,1998/99,12000000,Africa,1998
El Salvador,Arabica,1998/99,11500020,Central America,1998
Equatorial Guinea,Robusta,1998/99,0,Africa,1998
Ethiopia,Arabica,1998/99,108960000,Africa,1998
Gabon,Robusta,1998/99,48000,Africa,1998
Ghana,Robusta,1998/99,60000,Africa,1998
Guatemala,Arabica/Robusta,1998/99,18000000,Central America,1998
Guinea,Robusta,1998/99,3000000,Africa,1998
Guyana,Robusta,1998/99,292020,South America,1998
Honduras,Arabica,1998/99,8280000,Central America,1998
India,Robusta/Arabica,1998/99,54000000,Asia,1998
Jamaica,Arabica,1998/99,888000,Central America,1998
Kenya,Arabica,1998/99,3000000,Africa,1998
Laos,Robusta,1998/99,0,Asia,1998
Liberia,Robusta,1998/99,300000,Africa,1998
Mexico,Arabica/Robusta,1998/99,66480000,North America,1998
Nepal,Arabica,1998/99,0,Asia,1998
Nicaragua,Arabica,1998/99,7590000,Central America,1998
Nigeria,Robusta,1998/99,2400000,Africa,1998
Panama,Arabica,1998/99,4020000,Central America,1998
Sierra Leone,Robusta,1998/99,300000,Africa,1998
Sri Lanka,Robusta/Arabica,1998/99,1800000,Asia,1998
Thailand,Robusta/Arabica,1998/99,25980000,Asia,1998
Togo,Robusta,1998/99,120000,Africa,1998
Trinidad and Tobago,Robusta,1998/99,840000,Central America,1998
Uganda,Robusta/Arabica,1998/99,6960000,Africa,1998
Venezuela,Arabica,1998/99,65390400,South America,1998
Vietnam,Robusta/Arabica,1998/99,19891140,Asia,1998
Yemen,Arabica,1998/99,0,Asia,1998
Angola,Robusta/Arabica,1999/00,1200000,Africa,1999
Bolivia,Arabica,1999/00,2040000,South America,1999
Brazil,Arabica/Robusta,1999/00,762000000,South America,1999
